addr,lease_commence_date
ANG MO KIO AVE 1,1976
ANG MO KIO AVE 10,1979
ANG MO KIO AVE 2,1978
ANG MO KIO AVE 3,1976
ANG MO KIO AVE 4,1978
ANG MO KIO AVE 5,1980
ANG MO KIO AVE 6,1980
ANG MO KIO AVE 8,1980
ANG MO KIO AVE 9,1980
ANG MO KIO ST 11,1996
ANG MO KIO ST 21,1996
ANG MO KIO ST 31,1994
BEDOK NTH AVE 1,1979
BEDOK NTH AVE 2,1978
BEDOK NTH AVE 3,1978
BEDOK NTH AVE 4,1977
BEDOK NTH RD,1977
BEDOK NTH ST 1,1979
BEDOK NTH ST 2,1978
BEDOK NTH ST 3,1978
BEDOK NTH ST 4,1978
BEDOK RESERVOIR RD,1980
BEDOK STH AVE 1,1976
BEDOK STH AVE 2,1977
BEDOK STH AVE 3,1978
BEDOK STH RD,1976
CHAI CHEE AVE,1974
CHAI CHEE DR,1984
CHAI CHEE RD,1984
CHAI CHEE ST,1980
JLN TENAGA,1993
LENGKONG TIGA,1989
NEW UPP CHANGI RD,1982
BISHAN ST 11,1987
BISHAN ST 12,1986
BISHAN ST 13,1986
BISHAN ST 22,1992
BISHAN ST 23,1992
BISHAN ST 24,1992
BRIGHT HILL DR,1990
SHUNFU RD,1984
SIN MING AVE,1985
SIN MING RD,1973
BT BATOK CTRL,1985
BT BATOK EAST AVE 3,1988
BT BATOK EAST AVE 4,1985
BT BATOK EAST AVE 5,1986
BT BATOK ST 11,1984
BT BATOK ST 21,1983
BT BATOK ST 31,1985
BT BATOK ST 32,1986
BT BATOK ST 33,1985
BT BATOK ST 34,1987
BT BATOK ST 51,1987
BT BATOK ST 52,1988
BT BATOK WEST AVE 2,1986
BT BATOK WEST AVE 4,1988
BT BATOK WEST AVE 6,1984
BT BATOK WEST AVE 8,1985
BEO CRES,1971
BT MERAH CTRL,1977
BT MERAH VIEW,1973
BT PURMEI RD,1983
DELTA AVE,1983
DEPOT RD,1976
EVERTON PK,1980
HAVELOCK RD,1969
HENDERSON CRES,1970
HOY FATT RD,1967
JLN BT HO SWEE,1970
JLN BT MERAH,1979
JLN KLINIK,1969
KIM TIAN PL,1984
KIM TIAN RD,1976
REDHILL CL,1983
SPOTTISWOODE PK RD,1979
TAMAN HO SWEE,1969
TELOK BLANGAH CRES,1975
TELOK BLANGAH DR,1976
TELOK BLANGAH HTS,1976
TELOK BLANGAH RISE,1976
TELOK BLANGAH WAY,1976
ZION RD,1973
BANGKIT RD,1988
BT PANJANG RING RD,1988
FAJAR RD,1989
GANGSA RD,1987
PENDING RD,1988
PETIR RD,1988
SAUJANA RD,1988
EMPRESS RD,1976
QUEEN'S RD,1974
TOH YI DR,1989
CHANDER RD,1984
JLN KUKOH,1971
KELANTAN RD,1977
KRETA AYER RD,1981
QUEEN ST,1984
ROCHOR RD,1977
ROWELL RD,1984
SAGO LANE,1974
TG PAGAR PLAZA,1977
VEERASAMY RD,1985
CHOA CHU KANG AVE 1,1989
CHOA CHU KANG AVE 2,1990
CHOA CHU KANG AVE 3,1990
CHOA CHU KANG AVE 4,1992
CHOA CHU KANG CTRL,1989
CHOA CHU KANG NTH 5,1995
CHOA CHU KANG NTH 6,1996
CHOA CHU KANG NTH 7,1996
CHOA CHU KANG ST 51,1994
CHOA CHU KANG ST 52,1995
CHOA CHU KANG ST 53,1995
CHOA CHU KANG ST 62,1996
TECK WHYE AVE,1984
TECK WHYE LANE,1979
CLEMENTI AVE 1,1978
CLEMENTI AVE 2,1978
CLEMENTI AVE 3,1978
CLEMENTI AVE 4,1979
CLEMENTI AVE 5,1978
CLEMENTI AVE 6,1984
CLEMENTI ST 13,1985
CLEMENTI WEST ST 1,1979
CLEMENTI WEST ST 2,1980
WEST COAST DR,1978
WEST COAST RD,1980
ALJUNIED CRES,1978
ALJUNIED RD,1983
BALAM RD,1967
CIRCUIT RD,1967
DAKOTA CRES,1984
EUNOS CRES,1977
EUNOS RD 5,1984
GEYLANG EAST AVE 1,1984
GEYLANG EAST CTRL,1982
GEYLANG SERAI,1971
HAIG RD,1976
JLN PASAR BARU,1971
MACPHERSON LANE,1968
PAYA LEBAR WAY,1972
PINE CL,1981
SIMS DR,1977
SIMS PL,1977
UBI AVE 1,1985
HOUGANG AVE 1,1981
HOUGANG AVE 10,1985
HOUGANG AVE 2,1986
HOUGANG AVE 3,1978
HOUGANG AVE 4,1985
HOUGANG AVE 5,1983
HOUGANG AVE 6,1988
HOUGANG AVE 7,1983
HOUGANG AVE 8,1986
HOUGANG CTRL,1992
HOUGANG ST 11,1984
HOUGANG ST 21,1992
HOUGANG ST 22,1984
HOUGANG ST 51,1989
HOUGANG ST 52,1992
HOUGANG ST 61,1986
LOR AH SOO,1984
JURONG EAST AVE 1,1983
JURONG EAST ST 13,1981
JURONG EAST ST 21,1981
JURONG EAST ST 24,1983
JURONG EAST ST 31,1984
JURONG EAST ST 32,1983
PANDAN GDNS,1979
TEBAN GDNS RD,1977
BOON LAY AVE,1975
BOON LAY DR,1974
BOON LAY PL,1976
HO CHING RD,1972
JURONG WEST AVE 1,1985
JURONG WEST AVE 5,1989
JURONG WEST ST 41,1985
JURONG WEST ST 42,1984
JURONG WEST ST 52,1983
JURONG WEST ST 71,1991
JURONG WEST ST 72,1990
JURONG WEST ST 73,1990
JURONG WEST ST 74,1995
JURONG WEST ST 75,1995
JURONG WEST ST 81,1990
JURONG WEST ST 91,1989
JURONG WEST ST 92,1989
YUNG AN RD,1995
YUNG KUANG RD,1973
AH HOOD RD,1981
BEACH RD,1979
BENDEMEER RD,1972
CRAWFORD LANE,1981
GEYLANG BAHRU,1979
GLOUCESTER RD,1976
JLN BAHAGIA,1971
JLN BATU,1970
JLN RAJAH,1981
KALLANG BAHRU,1974
KENT RD,1982
KING GEORGE'S AVE,1981
LOR LIMAU,1973
LOR 3 GEYLANG,1989
MCNAIR RD,1987
RACE COURSE RD,1986
ST. GEORGE'S LANE,1981
ST. GEORGE'S RD,1976
TOWNER RD,1983
UPP BOON KENG RD,1976
WHAMPOA DR,1974
WHAMPOA RD,1995
WHAMPOA WEST,1972
MARINE CRES,1975
MARINE DR,1976
MARINE TER,1975
ELIAS RD,1995
PASIR RIS DR 1,1995
PASIR RIS DR 10,1995
PASIR RIS DR 3,1995
PASIR RIS DR 4,1992
PASIR RIS DR 6,1989
PASIR RIS ST 11,1989
PASIR RIS ST 12,1989
PASIR RIS ST 13,1995
PASIR RIS ST 21,1993
PASIR RIS ST 41,1992
PASIR RIS ST 51,1992
PASIR RIS ST 52,1993
PASIR RIS ST 53,1995
PASIR RIS ST 71,1996
PASIR RIS ST 72,1996
C'WEALTH CL,1967
C'WEALTH CRES,1970
C'WEALTH DR,1983
CLARENCE LANE,1996
DOVER CL EAST,1978
DOVER CRES,1976
DOVER RD,1978
GHIM MOH RD,1976
HOLLAND AVE,1974
HOLLAND CL,1974
HOLLAND DR,1975
MEI LING ST,1970
STIRLING RD,1970
STRATHMORE AVE,1993
TANGLIN HALT RD,1969
SELETAR WEST FARMWAY 6,1980
LOR LEW LIAN,1978
SERANGOON AVE 1,1989
SERANGOON AVE 2,1985
SERANGOON AVE 3,1986
SERANGOON AVE 4,1984
SERANGOON CTRL,1986
SERANGOON NTH AVE 1,1984
SERANGOON NTH AVE 2,1989
SERANGOON NTH AVE 4,1992
SIMEI RD,1989
SIMEI ST 1,1988
SIMEI ST 2,1989
SIMEI ST 4,1988
TAMPINES AVE 4,1984
TAMPINES AVE 5,1985
TAMPINES AVE 7,1994
TAMPINES AVE 8,1988
TAMPINES AVE 9,1993
TAMPINES CTRL 1,1989
TAMPINES ST 11,1982
TAMPINES ST 12,1984
TAMPINES ST 21,1982
TAMPINES ST 22,1984
TAMPINES ST 23,1985
TAMPINES ST 24,1985
TAMPINES ST 32,1993
TAMPINES ST 33,1993
TAMPINES ST 34,1995
TAMPINES ST 41,1985
TAMPINES ST 42,1985
